#Wavelength (nm),U,G,R,I,Sum,Included
310,0.225650135,0,0,0,0.225650135,
311,0.231926241,0,0,0,0.231926241,
312,0.238195042,0,0,0,0.238195042,
313,0.244398821,0,0,0,0.244398821,
314,0.250462771,0,0,0,0.250462771,
315,0.256348241,0,0,0,0.256348241,
316,0.2620598,0,0,0,0.2620598,
317,0.267831814,0,0,0,0.267831814,
318,0.274007746,0,0,0,0.274007746,
319,0.280364711,0,0,0,0.280364711,
320,0.286546348,0,0,0,0.286546348,
321,0.292487864,0,0,0,0.292487864,
322,0.29824582,0,0,0,0.29824582,
323,0.303867731,0,0,0,0.303867731,
324,0.309381038,0,0,0,0.309381038,
325,0.314867701,0,0,0,0.314867701,
326,0.320287892,0,0,0,0.320287892,
327,0.325629766,0,0,0,0.325629766,
328,0.330894839,0,0,0,0.330894839,
329,0.336085053,0,0,0,0.336085053,
330,0.34119977,0,0,0,0.34119977,
331,0.34622822,0,0,0,0.34622822,
332,0.35115735,0,0,0,0.35115735,
333,0.355960436,0,0,0,0.355960436,
334,0.360858092,0,0,0,0.360858092,
335,0.365620004,0,0,0,0.365620004,
336,0.370361405,0,0,0,0.370361405,
337,0.375442676,0,0,0,0.375442676,
338,0.380691316,0,0,0,0.380691316,
339,0.385731108,0,0,0,0.385731108,
340,0.390469677,0,0,0,0.390469677,
341,0.394798309,0,0,0,0.394798309,
342,0.398236731,0,0,0,0.398236731,
343,0.401771119,0,0,0,0.401771119,
344,0.403507304,0,0,0,0.403507304,
345,0.405353171,0,0,0,0.405353171,
346,0.413423136,0,0,0,0.413423136,
347,0.424310326,0,0,0,0.424310326,
348,0.432832825,0,0,0,0.432832825,
349,0.439724799,0,0,0,0.439724799,
350,0.446752463,0,0,0,0.446752463,
351,0.452449072,0,0,0,0.452449072,
352,0.457954329,0,0,0,0.457954329,
353,0.463163126,0,0,0,0.463163126,
354,0.468011343,0,0,0,0.468011343,
355,0.471625003,0,0,0,0.471625003,
356,0.474806683,0,0,0,0.474806683,
357,0.481047221,0,0,0,0.481047221,
358,0.489076312,0,0,0,0.489076312,
359,0.496513205,0,0,0,0.496513205,
360,0.503369314,0,0,0,0.503369314,0.503369314
361,0.509935736,0,0,0,0.509935736,0.509935736
362,0.515189166,0,0,0,0.515189166,0.515189166
363,0.52020165,0,0,0,0.52020165,0.52020165
364,0.525110408,0,0,0,0.525110408,0.525110408
365,0.52992204,0,0,0,0.52992204,0.52992204
366,0.536789801,0,0,0,0.536789801,0.536789801
367,0.543621949,0,0,0,0.543621949,0.543621949
368,0.549374421,0,0,0,0.549374421,0.549374421
369,0.5539833,0,0,0,0.5539833,0.5539833
370,0.558406949,0,0,0,0.558406949,0.558406949
371,0.562700468,0,0,0,0.562700468,0.562700468
372,0.566771115,0,0,0,0.566771115,0.566771115
373,0.570792091,0,0,0,0.570792091,0.570792091
374,0.575940383,0,0,0,0.575940383,0.575940383
375,0.581833506,0,0,0,0.581833506,0.581833506
376,0.585972432,0,0,0,0.585972432,0.585972432
377,0.589283547,0,0,0,0.589283547,0.589283547
378,0.592498426,0,0,0,0.592498426,0.592498426
379,0.595230266,0,0,0,0.595230266,0.595230266
380,0.596197705,0,0,0,0.596197705,0.596197705
381,0.600945705,0,0,0,0.600945705,0.600945705
382,0.604626407,0,0,0,0.604626407,0.604626407
383,0.607772211,0,0,0,0.607772211,0.607772211
384,0.610755005,0,0,0,0.610755005,0.610755005
385,0.613686507,0,0,0,0.613686507,0.613686507
386,0.616480879,0,0,0,0.616480879,0.616480879
387,0.61846145,0,0,0,0.61846145,0.61846145
388,0.62036245,0,0,0,0.62036245,0.62036245
389,0.621996283,0,0,0,0.621996283,0.621996283
390,0.622931625,0,0,0,0.622931625,0.622931625
391,0.618376816,0,0,0,0.618376816,0.618376816
392,0.625468968,0,0,0,0.625468968,0.625468968
393,0.629603076,0,0,0,0.629603076,0.629603076
394,0.631967877,0,0,0,0.631967877,0.631967877
395,0.633866857,0,0,0,0.633866857,0.633866857
396,0.635755516,0,0,0,0.635755516,0.635755516
397,0.637660286,0,0,0,0.637660286,0.637660286
398,0.638653332,0,0,0,0.638653332,0.638653332
399,0.64139634,0,0,0,0.64139634,0.64139634
400,0.643184723,0,0,0,0.643184723,0.643184723
401,0.644957676,0,0,0,0.644957676,0.644957676
402,0.646704548,0,0,0,0.646704548,0.646704548
403,0.648418566,0,0,0,0.648418566,0.648418566
404,0.650091367,0,0,0,0.650091367,0.650091367
405,0.651441532,0,0,0,0.651441532,0.651441532
406,0.652606606,0,0,0,0.652606606,0.652606606
407,0.653702937,0,0,0,0.653702937,0.653702937
408,0.654713741,0,0,0,0.654713741,0.654713741
409,0.655615406,0,0,0,0.655615406,0.655615406
410,0.656765855,0,0,0,0.656765855,0.656765855
